epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.34539783116235495,0.34199618014829086,0.3419961929321289,0.5848044157028198,0.5446802377700806,-2.9352633953094482,0.478518545627594,00:00
1,0.28842047980952307,0.2857666015625,0.2857666313648224,0.5345714688301086,0.49082550406455994,-2.2882444858551025,0.48384255170822144,00:00
2,0.23722976596028017,0.23344846248444082,0.23344846069812775,0.48316502571105957,0.43453249335289,-1.686232328414917,0.4864542484283447,00:00
3,0.18861172231530313,0.1827294748891409,0.18272948265075684,0.4274686872959137,0.3718411922454834,-1.1026220321655273,0.48836827278137207,00:00
4,0.14273657143923024,0.13438123909735852,0.1343812346458435,0.36658045649528503,0.30030980706214905,-0.5462907552719116,0.4873848557472229,00:00
5,0.09981151706245467,0.09107228998295971,0.09107229113578796,0.30178186297416687,0.23175479471683502,-0.04794573783874512,0.48123133182525635,00:00
6,0.06354017276136742,0.05910204124377633,0.059102047234773636,0.24310913681983948,0.18356826901435852,0.3199276924133301,0.47488832473754883,00:00
7,0.041798290938888344,0.04562851881350835,0.045628514140844345,0.21360830962657928,0.1646386831998825,0.4749642014503479,0.4769967794418335,00:00
8,0.03837161921901445,0.04714528101698643,0.047145288437604904,0.2171296626329422,0.19010499119758606,0.45751118659973145,0.5054569244384766,00:00
9,0.0438003503146439,0.04719956338474094,0.047199562191963196,0.2172546088695526,0.19555701315402985,0.4568866491317749,0.5666149854660034,00:00
10,0.042438879695575055,0.03739763228475979,0.037397630512714386,0.19338467717170715,0.17247235774993896,0.5696749091148376,0.6468983888626099,00:00
11,0.030040680093968167,0.025212510341613606,0.025212513282895088,0.15878447890281677,0.1303197741508484,0.7098860144615173,0.7200101613998413,00:00
12,0.018030716326066096,0.01993053090019913,0.019930530339479446,0.1411755234003067,0.10821656137704849,0.7706644535064697,0.7773041725158691,00:00
13,0.013220228125094446,0.0197540087427777,0.01975400559604168,0.1405489444732666,0.10361924022436142,0.7726956605911255,0.816849946975708,00:00
14,0.012740015291844852,0.019943405320844355,0.01994340680539608,0.14122113585472107,0.1011846736073494,0.7705162763595581,0.84046471118927,00:00
15,0.012427297736044318,0.01741352030163476,0.017413519322872162,0.13196028769016266,0.0945909321308136,0.7996270656585693,0.8519322872161865,00:00
16,0.011738003337867486,0.014687257998293728,0.014687256887555122,0.12119099497795105,0.08680440485477448,0.8309974670410156,0.8508099317550659,00:00
17,0.011479576966748707,0.01339024777889069,0.013390247710049152,0.11571623384952545,0.08205124735832214,0.8459218144416809,0.8476314544677734,00:00
18,0.011929274988820059,0.012761689109027911,0.012761690653860569,0.11296765506267548,0.08003610372543335,0.8531544804573059,0.8531637191772461,00:00
19,0.011203525144772557,0.012099540356884785,0.012099540792405605,0.10999791324138641,0.0774616226553917,0.8607736825942993,0.8608434200286865,00:00
20,0.009332285167170216,0.012915214968111176,0.012915213592350483,0.11364512145519257,0.07687701284885406,0.8513878583908081,0.8600528240203857,00:00
21,0.008445714843572915,0.014383682023058994,0.014383682049810886,0.11993198841810226,0.0787859857082367,0.8344905972480774,0.8543574810028076,00:00
