epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.16582415228424957,0.1340004648115844,0.13400046527385712,0.366060733795166,0.28526195883750916,-1.3790581226348877,0.06567114591598511,00:00
1,0.16087704332008584,0.1293245664002657,0.12932458519935608,0.3596172630786896,0.2805524170398712,-1.2960419654846191,0.10137742757797241,00:00
2,0.15558327650885517,0.12477354344076144,0.1247735470533371,0.3532329797744751,0.2757420241832733,-1.2152421474456787,0.13466757535934448,00:00
3,0.15074057366907942,0.12018296801692359,0.12018297612667084,0.3466741740703583,0.2708308696746826,-1.1337406635284424,0.16851156949996948,00:00
4,0.1455579421967556,0.11553676901809651,0.11553677171468735,0.3399069905281067,0.26564761996269226,-1.0512516498565674,0.20163190364837646,00:00
5,0.1403481282394675,0.11079545242034901,0.11079547554254532,0.3328595459461212,0.26024311780929565,-0.9670741558074951,0.2353488802909851,00:00
6,0.1352563854342964,0.1060010719372367,0.10600104928016663,0.3255780339241028,0.25457102060317993,-0.8819534778594971,0.2683897018432617,00:00
7,0.12980344908841573,0.10113734607265536,0.10113735496997833,0.3180209994316101,0.2485959827899933,-0.7956029176712036,0.3009291887283325,00:00
8,0.1242579417717526,0.09601841097086246,0.09601839631795883,0.30986836552619934,0.2423272728919983,-0.7047204971313477,0.3363579511642456,00:00
9,0.11860066456305912,0.09072977662862648,0.09072977304458618,0.3012138307094574,0.2355630248785019,-0.6108256578445435,0.371734082698822,00:00
10,0.11264944906622114,0.08538087269941175,0.08538086712360382,0.2922000586986542,0.2282794564962387,-0.5158605575561523,0.4053438901901245,00:00
11,0.10668270177490706,0.07976228968935513,0.0797622874379158,0.28242218494415283,0.2204510122537613,-0.41610777378082275,0.4404109716415405,00:00
12,0.10008906026873414,0.07404276257226039,0.07404275983572006,0.2721079885959625,0.21218980848789215,-0.31456291675567627,0.4745676517486572,00:00
13,0.09366064606598314,0.06828129277837454,0.06828127801418304,0.26130688190460205,0.20355790853500366,-0.21227288246154785,0.5065197348594666,00:00
14,0.08687790035048583,0.06251022707041723,0.06251022219657898,0.25002044439315796,0.19463928043842316,-0.10981297492980957,0.5354499816894531,00:00
15,0.08018876597775251,0.05659450967847867,0.056594520807266235,0.23789604008197784,0.1853649914264679,-0.004784822463989258,0.5643393993377686,00:00
16,0.07310811970635124,0.0505345379972951,0.05053454264998436,0.22479890286922455,0.1757836490869522,0.10280466079711914,0.5934202671051025,00:00
17,0.06596461578310113,0.044514253193370594,0.044514261186122894,0.2109840214252472,0.16606533527374268,0.20968937873840332,0.6211987733840942,00:00
18,0.058827158560835875,0.03873104356979785,0.03873104229569435,0.1968020349740982,0.15628883242607117,0.3123651146888733,0.6458438038825989,00:00
19,0.0517242143878162,0.03330126396772369,0.03330126404762268,0.18248634040355682,0.1460976004600525,0.40876591205596924,0.6659847497940063,00:00
20,0.04486876437926892,0.02836023606088873,0.028360232710838318,0.1684049665927887,0.13544861972332,0.4964894652366638,0.6809554100036621,00:00
21,0.03861089370698025,0.02400060541919254,0.024000605568289757,0.154921293258667,0.12460030615329742,0.5738908052444458,0.6922110319137573,00:00
22,0.03278592107835544,0.020422771487460654,0.02042277529835701,0.1429082751274109,0.11391773819923401,0.6374120116233826,0.7002767324447632,00:00
23,0.02745710996410141,0.017920993379777712,0.01792099140584469,0.13386930525302887,0.10453291237354279,0.6818288564682007,0.7054548263549805,00:00
24,0.023395499592823492,0.016671347645496964,0.016671346500515938,0.12911756336688995,0.09804031252861023,0.7040152549743652,0.7070691585540771,00:00
25,0.020741403679321996,0.01658898904742705,0.01658898964524269,0.128798246383667,0.09496001899242401,0.7054773569107056,0.7070538401603699,00:00
26,0.01912304972311053,0.017422530350672337,0.01742253266274929,0.13199444115161896,0.09537408500909805,0.690678596496582,0.7064908742904663,00:00
27,0.018119712401635412,0.018388173261486857,0.01838817447423935,0.13560301065444946,0.09704965353012085,0.6735344529151917,0.7078534364700317,00:00
28,0.017866169691546974,0.01876562082735527,0.01876562274992466,0.13698767125606537,0.09788652509450912,0.666833221912384,0.7116857767105103,00:00
29,0.017177972848918036,0.01786372762948149,0.017863726243376732,0.13365525007247925,0.09631167352199554,0.6828455924987793,0.7203422784805298,00:00
30,0.016092195271062204,0.016716646262394975,0.016716647893190384,0.12929287552833557,0.09431836754083633,0.7032109498977661,0.7301692366600037,00:00
31,0.01506734955011069,0.0153805627899579,0.015380563214421272,0.12401840090751648,0.09175717830657959,0.7269319295883179,0.7428258657455444,00:00
32,0.014028240218614471,0.013925399692612833,0.013925401493906975,0.11800593882799149,0.0889434963464737,0.752767026424408,0.7587332129478455,00:00
33,0.013337158372831068,0.012754096239748151,0.012754096649587154,0.11293403804302216,0.0863586962223053,0.773562490940094,0.7745169401168823,00:00
34,0.01283069736030623,0.012217210837590288,0.012217210605740547,0.11053148657083511,0.0850902870297432,0.7830944061279297,0.7832177877426147,00:00
35,0.012340317842347018,0.011813148051466079,0.01181314792484045,0.10868830233812332,0.08370710909366608,0.7902681827545166,0.7903097867965698,00:00
36,0.011776056234333917,0.01135765917225388,0.011357658542692661,0.10657231509685516,0.0810999646782875,0.798354983329773,0.7988370656967163,00:00
37,0.01110207688647036,0.011211444207508872,0.011211445555090904,0.1058841124176979,0.079055555164814,0.8009508848190308,0.804443359375,00:00
38,0.010519525760377629,0.011420787225414264,0.011420788243412971,0.10686808824539185,0.0785156786441803,0.7972341775894165,0.8070583343505859,00:00
39,0.01010701089117467,0.011486194454267627,0.011486195959150791,0.10717367380857468,0.07797455787658691,0.7960729002952576,0.8101344108581543,00:00
40,0.00977313172655825,0.010603117604951482,0.010603115893900394,0.10297143459320068,0.07507946342229843,0.8117511868476868,0.8176722526550293,00:00
41,0.009490870876054007,0.010009865704189084,0.010009866207838058,0.10004931688308716,0.07266391068696976,0.8222838044166565,0.824201226234436,00:00
