epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.0758770439103678,0.09151271438744733,0.09151271730661392,0.30251067876815796,0.257809579372406,-0.05301368236541748,-0.047719717025756836,00:00
1,0.07143446370757525,0.0865470450849471,0.08654704689979553,0.29418879747390747,0.24937090277671814,0.00412517786026001,0.010146796703338623,00:00
2,0.06733394453096667,0.08180957970971671,0.08180958777666092,0.28602373600006104,0.2411380112171173,0.05863767862319946,0.06514889001846313,00:00
3,0.06344739519189359,0.07721401931955549,0.07721401751041412,0.2778741121292114,0.23269663751125336,0.11151784658432007,0.11862856149673462,00:00
4,0.059633741987512465,0.07269136333136848,0.07269136607646942,0.2696133553981781,0.2239246815443039,0.16355878114700317,0.17131614685058594,00:00
5,0.056005691882489494,0.06824498960041352,0.06824498623609543,0.26123741269111633,0.2149057686328888,0.21472209692001343,0.22313660383224487,00:00
6,0.052294293962548734,0.06394445973764841,0.06394445896148682,0.25287240743637085,0.20567063987255096,0.26420724391937256,0.2734379768371582,00:00
7,0.04894612605613251,0.05963567809006667,0.05963567644357681,0.24420416355133057,0.19586844742298126,0.3137873411178589,0.32374143600463867,00:00
8,0.04549673216947043,0.055457744503423015,0.05545775219798088,0.2354946881532669,0.1857028305530548,0.3618617653846741,0.37249451875686646,00:00
9,0.04237061358512716,0.051493276174567934,0.05149328336119652,0.22692130506038666,0.17541594803333282,0.4074798822402954,0.4187317490577698,00:00
10,0.039409534151826194,0.04768203858076407,0.04768203943967819,0.21836216747760773,0.16492241621017456,0.4513348937034607,0.4630250930786133,00:00
11,0.036628461206904696,0.04412062201907196,0.04412062093615532,0.2100490927696228,0.15453769266605377,0.4923151135444641,0.5044364929199219,00:00
12,0.0339632495459551,0.0408362158867008,0.040836211293935776,0.20207971334457397,0.1468450129032135,0.5301079750061035,0.5429084897041321,00:00
13,0.03155703885873466,0.03769931625196734,0.03769931569695473,0.19416311383247375,0.14161965250968933,0.5662034749984741,0.5795451402664185,00:00
14,0.02918196923497567,0.03464294749171923,0.03464294597506523,0.18612615764141083,0.13723567128181458,0.6013724207878113,0.6149510145187378,00:00
15,0.02700454077360939,0.0316752532760287,0.03167525306344032,0.17797543108463287,0.13289274275302887,0.635520875453949,0.6486433744430542,00:00
16,0.024662836838506407,0.028655766253725224,0.028655769303441048,0.16928015649318695,0.12806619703769684,0.6702653169631958,0.6825066208839417,00:00
17,0.022251791372981708,0.025792110564379068,0.025792110711336136,0.1605992317199707,0.12259597331285477,0.7032166719436646,0.7150142192840576,00:00
18,0.01988786885540075,0.02291077665331171,0.02291077747941017,0.1513630598783493,0.11626171320676804,0.7363714575767517,0.7472143173217773,00:00
19,0.017497723061065378,0.020226058171015505,0.02022605948150158,0.14221835136413574,0.10945244878530502,0.7672638893127441,0.7773394584655762,00:00
20,0.015124118074457696,0.01782503131704283,0.017825033515691757,0.13351042568683624,0.10208252817392349,0.794891893863678,0.8042563199996948,00:00
21,0.013028384638478262,0.015780971589923042,0.015780974179506302,0.12562234699726105,0.09468318521976471,0.8184123039245605,0.8269258141517639,00:00
22,0.011311096656253305,0.014206438126668122,0.014206436462700367,0.1191907599568367,0.08761186897754669,0.8365300893783569,0.8445430994033813,00:00
23,0.010074100826418377,0.013025893785176447,0.013025895692408085,0.11413104087114334,0.08144310116767883,0.8501143455505371,0.8575479984283447,00:00
24,0.009363239922883201,0.01214655054706762,0.012146552093327045,0.11021140217781067,0.07886908948421478,0.8602327108383179,0.8665103316307068,00:00
25,0.00925990552920668,0.011877248406821127,0.01187724806368351,0.10898278653621674,0.07923072576522827,0.8633314967155457,0.8693146705627441,00:00
26,0.009412805162499906,0.01179423308472942,0.01179423276335001,0.10860125720500946,0.07961812615394592,0.8642867803573608,0.8689706325531006,00:00
27,0.009426356745411856,0.01179803390239948,0.01179803442209959,0.10861875861883163,0.07875069975852966,0.8642430305480957,0.8681055307388306,00:00
28,0.009204881103633681,0.011646614089317131,0.011646615341305733,0.10791948437690735,0.07685703784227371,0.8659853339195251,0.869970440864563,00:00
29,0.008867083942405951,0.01127285630435425,0.011272856965661049,0.10617371648550034,0.07430952787399292,0.8702861070632935,0.8742344379425049,00:00
30,0.008639623394787197,0.01090081812823152,0.010900817811489105,0.10440698266029358,0.07295968383550644,0.8745670318603516,0.8780953884124756,00:00
31,0.008608078357098873,0.010767629529177937,0.010767628438770771,0.10376718640327454,0.0726088136434555,0.8760996460914612,0.8798054456710815,00:00
32,0.008740367003981333,0.010408820068639888,0.010408821515738964,0.10202363133430481,0.0720052644610405,0.8802283406257629,0.8825365304946899,00:00
33,0.008678952776025296,0.01035747433110518,0.010357474908232689,0.10177168250083923,0.07073390483856201,0.8808191418647766,0.8830045461654663,00:00
34,0.008312253933580056,0.0104666811805354,0.010466682724654675,0.1023068055510521,0.06990078836679459,0.8795625567436218,0.8815461993217468,00:00
35,0.008138561617705532,0.011194813530000404,0.011194813996553421,0.10580554604530334,0.07103157788515091,0.8711841106414795,0.8750655055046082,00:00
36,0.008245510566165414,0.011955174300370203,0.01195517461746931,0.10933972150087357,0.0733509212732315,0.8624348640441895,0.8697434663772583,00:00
37,0.00829358534379439,0.011176341249311807,0.011176341213285923,0.1057182177901268,0.07180237025022507,0.8713966608047485,0.8811529874801636,00:00
38,0.008032103341137648,0.009898885919051534,0.009898885153234005,0.09949313849210739,0.0690145418047905,0.8860960602760315,0.8928408026695251,00:00
39,0.007938088024146783,0.009590625945565711,0.009590624831616879,0.09793173521757126,0.0666951835155487,0.8896430730819702,0.8928104639053345,00:00
40,0.007694799618748678,0.009660785840142965,0.009660786017775536,0.09828929603099823,0.06623714417219162,0.8888357877731323,0.8898690342903137,00:00
41,0.007612900761617221,0.009790449752427755,0.00979045033454895,0.0989467054605484,0.06641677021980286,0.8873437643051147,0.8881441950798035,00:00
