epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.8425315399465063,0.7687725065677662,0.7687723636627197,0.8767966628074646,0.6794832944869995,-12.648862838745117,-5.103531837463379,00:00
1,0.8412073013630319,0.7674853683933359,0.7674852013587952,0.8760623335838318,0.6789118051528931,-12.62601089477539,-5.092729091644287,00:00
2,0.8398741495217299,0.7661965471353169,0.7661962509155273,0.87532639503479,0.6783339977264404,-12.60312557220459,-5.0818305015563965,00:00
3,0.8384991466883764,0.7648382986792656,0.7648381590843201,0.8745502829551697,0.6777268052101135,-12.579014778137207,-5.070437908172607,00:00
4,0.8370517752848464,0.763438300399751,0.76343834400177,0.8737496137619019,0.6771010160446167,-12.554162979125977,-5.058780193328857,00:00
5,0.8356039316557362,0.7618975776312955,0.7618976831436157,0.8728674650192261,0.6764122843742371,-12.52680778503418,-5.04581880569458,00:00
6,0.8339735728398513,0.7603535354479845,0.7603535652160645,0.8719825148582458,0.6757204532623291,-12.499395370483398,-5.032952785491943,00:00
7,0.8323070887670757,0.7586774647076072,0.7586777210235596,0.8710210919380188,0.6749684810638428,-12.469640731811523,-5.018850803375244,00:00
8,0.8305159371411086,0.7568702069519581,0.7568703293800354,0.8699829578399658,0.6741568446159363,-12.437551498413086,-5.003705024719238,00:00
9,0.8286067291200737,0.7549596265648937,0.7549594640731812,0.8688840270042419,0.6732950806617737,-12.403626441955566,-4.987549304962158,00:00
10,0.8265943988379473,0.7529408613049359,0.7529407739639282,0.8677215576171875,0.6723887920379639,-12.36778736114502,-4.9707932472229,00:00
11,0.8243866261937862,0.7507659900421294,0.7507661581039429,0.8664676547050476,0.671406626701355,-12.329178810119629,-4.952413558959961,00:00
12,0.8220245538412717,0.7484518436123612,0.7484517097473145,0.8651310205459595,0.6703618764877319,-12.288087844848633,-4.9334611892700195,00:00
13,0.8195268346908244,0.7458796243656645,0.7458794713020325,0.8636431694030762,0.6692029237747192,-12.242420196533203,-4.911928653717041,00:00
14,0.8167804887723646,0.7430623761998516,0.7430621385574341,0.8620105385780334,0.6679286956787109,-12.192400932312012,-4.888319969177246,00:00
15,0.8137898841725096,0.7401519039041555,0.7401517629623413,0.8603207468986511,0.666613757610321,-12.140730857849121,-4.864236831665039,00:00
16,0.8106406117776838,0.7369568502250096,0.7369570136070251,0.8584620356559753,0.6651644706726074,-12.08400821685791,-4.837416172027588,00:00
17,0.80726844890897,0.7335019938930247,0.7335018515586853,0.8564472198486328,0.6635907888412476,-12.022666931152344,-4.80861234664917,00:00
18,0.8036180271170817,0.7299528381277528,0.7299526333808899,0.8543726801872253,0.6619681715965271,-11.9596529006958,-4.779231071472168,00:00
19,0.7998026215130863,0.7261889021956387,0.7261888980865479,0.8521671891212463,0.6602445840835571,-11.892830848693848,-4.748295783996582,00:00
20,0.795809422978119,0.7219947046450115,0.7219948172569275,0.849702775478363,0.6583184003829956,-11.818368911743164,-4.713003158569336,00:00
21,0.7914462357010095,0.7176713771812764,0.717671275138855,0.8471547961235046,0.6563253402709961,-11.741609573364258,-4.677570343017578,00:00
22,0.7868664739671483,0.7130976442814055,0.7130975723266602,0.8444510698318481,0.6542041897773743,-11.660407066345215,-4.639318466186523,00:00
23,0.7820439882850279,0.70838309338795,0.7083830833435059,0.8416549563407898,0.6520150303840637,-11.576704978942871,-4.600837230682373,00:00
24,0.776931438040226,0.7034307601852738,0.7034306526184082,0.8387077450752258,0.6497035026550293,-11.48878002166748,-4.560135364532471,00:00
25,0.7716213204182786,0.698065136456937,0.6980651617050171,0.8355029225349426,0.6471931338310242,-11.393521308898926,-4.51607608795166,00:00
26,0.7658902136915196,0.6923372289861404,0.692337155342102,0.8320680260658264,0.6445103287696838,-11.291823387145996,-4.469224452972412,00:00
27,0.7598447818128929,0.6863990763237265,0.6863991618156433,0.8284921050071716,0.6417081952095032,-11.1864013671875,-4.420788764953613,00:00
28,0.7535916297071446,0.6801517973088615,0.6801518797874451,0.8247131705284119,0.6387396454811096,-11.075485229492188,-4.369153022766113,00:00
29,0.7470428053599493,0.6736709436937476,0.6736710071563721,0.8207746744155884,0.635657548904419,-10.96042251586914,-4.316133499145508,00:00
